IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,arima,"<ARIMA(1,0,0) w/ mean>",0.03685945280317038,7.857888683546882,-9.715777367093764,-8.858634509950907,-5.318569658694585,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,rrsfs1,"<LM w/ ARIMA(1,0,0) errors>",0.03812107086350196,7.862278208966771,-7.724556417933542,-6.243074936452061,-1.8616128067346356,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,rrsfs2,"<LM w/ ARIMA(1,0,0) errors>",0.03416920543442447,9.556328914906416,-11.112657829812832,-9.631176348331351,-5.249714218613926,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,rrsfs3,"<LM w/ ARIMA(1,0,0) errors>",0.03357205037789614,10.36017394024342,-10.720347880486841,-8.412655572794534,-3.391668366488208,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,rrsfs4,"<LM w/ ARIMA(1,0,0) errors>",0.034251049982625306,10.598527685471034,-9.197055370942067,-5.837055370942068,-0.4026399541437087,,
12311,"HUNTINGTON NATIONAL BANK, THE (12311)",LargeBank,rrsfs5,"<LM w/ ARIMA(1,0,0) errors>",0.03474806617403669,10.98212749167223,-7.9642549833444605,-3.2975883166777935,2.295896336253625,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,arima,"<ARIMA(2,0,2)(0,1,1)[4]>",0.0039818177636226516,59.13296507682868,-106.26593015365737,-103.99565988338709,-95.5607923501478,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,rrsfs1,"<LM w/ ARIMA(2,0,1)(0,1,1)[4] errors>",0.003972760215485388,59.24288111864816,-106.48576223729631,-104.21549196702604,-95.78062443378676,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,rrsfs2,"<LM w/ ARIMA(2,0,2)(0,1,0)[4] errors>",0.0029470857349273806,66.20332958061601,-120.40665916123203,-118.13638889096175,-109.70152135772247,,
30810,DISCOVER BANK (30810),LargeCreditCardBank,rrsfs3,"<LM w/ ARIMA(1,1,0)(1,0,0)[4] errors>",0.0037217352566016938,64.61012035743255,-119.2202407148651,-117.75682608071875,-109.96950270631481,,
